<Register>;<Description>;<min>;<max>;<divisor>;<comma>;<access>;<pcb>
5328;Absenkung der Luefterstufe1;30;70;1;0;R/W;LU
1066;Aktive Luefterstufe;0;4;1;0;R;LU
1218;Anforderung: Beschattung;0;1;1;0;R;LU
1038;Anforderung: Brauchwasserheizung Elektoheizstab;0;1;1;0;R;LU
1036;Anforderung: Brauchwasserheizung Waermepumpe;0;1;1;0;R;LU
1146;Anforderung: Frostschutz;0;1;1;0;R;LU
228;Anforderung: LST3_EXT;0;1;1;0;R;LU
1032;Anforderung: Raum-Heizstufe1;0;1;1;0;R;LU
1034;Anforderung: Raum-Heizstufe2;0;1;1;0;R;LU
1198;Anforderung: Sole Aussenlufterwaermung;0;1;1;0;R;LU
1320;Anforderung: Sole Kuehlung;0;1;1;0;R;LU
1196;Anforderung: Sole Waermepumpe;0;1;1;0;R;LU
1336;Anforderung: Ventilatoren extern;0;1;1;0;R;LU
5382;Ausschaltpunkt (Hysterese) Raum-Heizstufe2;-1000;0;100;1;R/W;LU
5378;Ausschaltpunkt (Hysterese) Raum-Heizstufe1;100;300;100;1;R/W;LU
202;Aussenluft;-28000;100000;100;1;R;LU
5304;Aussenluftfuehler vorhanden?;0;1;1;0;R;LU
5336;Beschattungsfunktion;0;1;1;0;R;LU
5002;Betriebsart;0;5;1;0;R/W;LU
902;Betriebsstunden: Abluftventilator;0;600000000;60;0;R;LU
964;Betriebsstunden: Beschattung;0;600000000;60;0;R;LU
928;Betriebsstunden: Feinstaubfilter;0;600000000;60;0;R;LU
940;Betriebsstunden: Frostschutzeinrichtung;0;600000000;60;0;R;LU
926;Betriebsstunden: Grobstaubfilter;0;600000000;60;0;R;LU
938;Betriebsstunden: Heizung;0;600000000;60;0;R;LU
912;Betriebsstunden: Heizstufe1;0;600000000;60;0;R;LU
914;Betriebsstunden: Heizstufe2;0;600000000;60;0;R;LU
962;Betriebsstunden: Luefterstufe0;0;600000000;60;0;R;LU
904;Betriebsstunden: Luefterstufe1;0;600000000;60;0;R;LU
